Account Name,Street,City,State or Province,Postal Code,Country,Latitude,Longitude,Phone,Annual Revenue,Number of Employees,Account Owner,AccountID,Industry Lookup,Territory,Region,AccountSeq,IndustrySeq,AccountOwnerSeq,Industry,Account Number
Abbott Group  (Morocco),196 Prentice Plaza,Arlington,VA,22212,United States,38.8808,-77.113,+1-571-550-4672,36000000,9300,David So,75161419-dd1e-eb11-a814-000d3a9c7ff2,Precious Metals,US-SOUTH,North America,1043,34,9,Precious Metals,AN-100044
"Dickens and Sons (Maple Creek, Canada)",6594 John Wall Avenue,El Paso,TX,88558,United States,31.6948,-106.3,+1-915-570-1184,39000000,4700,Molly Clark,a8b711b2-e21e-eb11-a814-000d3a9c7ff2,Air Freight/Delivery Services,US-SOUTH,North America,1045,1,1,Air Freight/Delivery Services,AN-100046
"Veum, Mohr and Kertzmann",37250 Westend Road,Houston,TX,77060,United States,29.9335,-95.3981,+1-281-725-0592,91000000,4500,Molly Clark,1e11830a-f71e-eb11-a814-000d3a9c7ff2,n/a,US-SOUTH,North America,1047,0,1,n/a,AN-100048
"Hermann Inc (Gravelbourg, Canada)",5747 Tennyson Junction,Dallas,TX,75392,United States,32.7673,-96.7776,+1-214-692-0559,42000000,4400,Molly Clark,a325615e-f31e-eb11-a814-000d3a9c7ff2,Real Estate Investment Trusts,US-SOUTH,North America,1049,37,1,Real Estate Investment Trusts,AN-100050
Abbott Group  (Florida),9 Delaware Pass,El Paso,TX,88553,United States,31.6948,-106.3,+1-915-530-6084,99000000,5400,Molly Clark,b85d45fc-f31e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-SOUTH,North America,1051,22,1,Major Pharmaceuticals,AN-100052
Abbott Group  (Kansas),34668 Summer Ridge Plaza,Lubbock,TX,79415,United States,33.6021,-101.876,+1-806-956-9245,44000000,3500,Molly Clark,55e2327c-f71e-eb11-a814-000d3a9c7ff2,Clothing/Shoe/Accessory Stores,US-SOUTH,North America,1053,5,1,Clothing/Shoe/Accessory Stores,AN-100054
"Purdy, Cassin and Ryan",9701 Elgar Drive,Bradenton,FL,34210,United States,27.4544,-82.6358,+1-941-262-9845,85000000,3900,David So,52cc63d5-e41e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-SOUTH,North America,1060,22,9,Major Pharmaceuticals,AN-100061
"Stroman, Jacobs and Lubowitz",584 Mcguire Crossing,Raleigh,NC,27621,United States,35.7977,-78.6253,+1-919-822-6066,66000000,8900,David So,b94eedc4-f71e-eb11-a814-000d3a9c7ff2,n/a,US-SOUTH,North America,1062,0,9,n/a,AN-100063
"Gerlach-Schimmel (Saint-Jean-de-Védas, France)",348 Forest Dale Alley,Austin,TX,78726,United States,30.43,-97.8326,+1-512-699-4811,25000000,4100,Molly Clark,e1bac830-f81e-eb11-a814-000d3a9c7ff2,Major Chemicals,US-SOUTH,North America,1075,21,1,Major Chemicals,AN-100076
"Abbott Inc and Sons (Wichita Falls, Texas)",824 Hoard Road,El Paso,TX,88584,United States,31.6948,-106.3,+1-915-834-4845,95000000,6400,Molly Clark,bd4720d6-f21e-eb11-a814-000d3a9c7ff2,Oil & Gas Production,US-SOUTH,North America,1077,27,1,Oil & Gas Production,AN-100078
"Bechtelar Group (Colorado Springs, Colorado)",28370 Spohn Pass,Miami,FL,33142,United States,25.813,-80.232,+1-954-372-1050,17000000,5300,David So,dab9d819-f11e-eb11-a814-000d3a9c7ff2,Computer Software: Prepackaged Software,US-SOUTH,North America,1079,7,9,Computer Software: Prepackaged Software,AN-100080
"Feest LLC (Tsukuba, Japan)",55 Farwell Circle,Tallahassee,FL,32304,United States,30.4478,-84.3211,+1-850-420-1626,32000000,4600,Spencer Low,8159cbc0-eb1e-eb11-a814-000d3a9c7ff2,n/a,US-SOUTH,North America,1082,0,7,n/a,AN-100083
"Welch Group (New-Richmond, Canada)",92710 Kenwood Terrace,Atlanta,GA,30351,United States,33.8444,-84.474,+1-404-480-5039,76000000,6600,David So,96ac10c0-f41e-eb11-a814-000d3a9c7ff2,Industrial Machinery/Components,US-SOUTH,North America,1086,16,9,Industrial Machinery/Components,AN-100087
"Lubowitz Group (Seattle, Washington)",634 Express Junction,Arlington,VA,22212,United States,38.8808,-77.113,+1-571-230-4357,97000000,4000,David So,69095e84-f41e-eb11-a814-000d3a9c7ff2,n/a,US-SOUTH,North America,1091,0,9,n/a,AN-100092
"Schroeder Group (Askim, Norway)",1 Pierstorff Park,Arlington,VA,22225,United States,38.8808,-77.113,+1-571-765-3932,56000000,3300,Spencer Low,d153568a-f41e-eb11-a814-000d3a9c7ff2,Integrated oil Companies,US-SOUTH,North America,1092,17,7,Integrated oil Companies,AN-100093
"Rath, Lind and Deckow",2 Banding Drive,Johnson City,TN,37605,United States,36.3158,-82.3838,+1-423-211-2450,75000000,7300,David So,7d6662d6-f11e-eb11-a814-000d3a9c7ff2,Hospital/Nursing Management,US-SOUTH,North America,1093,15,9,Hospital/Nursing Management,AN-100094
"Kling, Conroy and Abbott",321 Ridgeview Lane,Manassas,VA,22111,United States,38.7202,-77.4391,+1-434-214-9811,15000000,8400,David So,5f896d78-f41e-eb11-a814-000d3a9c7ff2,Ordnance And Accessories,US-SOUTH,North America,1094,30,9,Ordnance And Accessories,AN-100095
"Bosco LLC (Omigawa, Japan)",921 Lakeland Point,Charlotte,NC,28289,United States,35.26,-80.8042,+1-704-131-5302,15000000,4000,Spencer Low,1ccb99ab-e41e-eb11-a814-000d3a9c7ff2,n/a,US-SOUTH,North America,1097,0,7,n/a,AN-100098
"Watsica Inc (Strasbourg, France)",5 Ramsey Way,Jackson,MS,39296,United States,32.3113,-90.3972,+1-601-597-2151,36000000,7400,David So,85f49ce4-eb1e-eb11-a814-000d3a9c7ff2,Major Banks,US-SOUTH,North America,1098,20,9,Major Banks,AN-100099
"Crooks, Nicolas and Turcotte",48 Kensington Terrace,Washington,DC,20370,United States,38.8933,-77.0146,+1-202-645-1756,87000000,9400,David So,baecb22c-ed1e-eb11-a814-000d3a9c7ff2,Marine Transportation,US-SOUTH,North America,1100,23,9,Marine Transportation,AN-100101
Glover-Hane,0 Jenna Drive,Athens,GA,30605,United States,33.9321,-83.3525,+1-706-704-3307,43000000,3600,Spencer Low,793a83cc-f31e-eb11-a814-000d3a9c7ff2,Electric Utilities: Central,US-SOUTH,North America,1101,11,7,Electric Utilities: Central,AN-100102
Abbott Inc and Sons  (Louisiana),19 Buell Parkway,Beaumont,TX,77705,United States,30.0211,-94.1157,+1-936-371-3330,75000000,5500,Molly Clark,51ee8834-f31e-eb11-a814-000d3a9c7ff2,Savings Institutions,US-SOUTH,North America,1103,40,1,Savings Institutions,AN-100104
"Schowalter-White (Hyrynsalmi, Finland)",86 Autumn Leaf Lane,Atlanta,GA,30368,United States,33.8444,-84.474,+1-404-898-9957,122000000,6200,David So,b4ee9ce4-eb1e-eb11-a814-000d3a9c7ff2,Specialty Foods,US-SOUTH,North America,1112,41,9,Specialty Foods,AN-100113
"Schulist, Casper and Dickinson",1897 Anderson Lane,Fort Lauderdale,FL,33310,United States,26.1443,-80.2069,+1-754-223-8050,19000000,6100,Spencer Low,56cc64af-e31e-eb11-a814-000d3a9c7ff2,Food Distributors,US-SOUTH,North America,1114,12,7,Food Distributors,AN-100115
"Hayes, Kozey and Halvorson",5126 Starling Plaza,Greensboro,NC,27409,United States,36.0777,-79.9086,+1-336-327-1232,18000000,4200,David So,854462d7-e61e-eb11-a814-000d3a9c7ff2,Specialty Foods,US-SOUTH,North America,1115,41,9,Specialty Foods,AN-100116
"Powlowski Group (Porsgrunn, Norway)",63900 Veith Pass,Lexington,KY,40510,United States,38.0702,-84.591,+1-859-923-2082,24000000,3600,David So,ae3a1861-f61e-eb11-a814-000d3a9c7ff2,Real Estate Investment Trusts,US-SOUTH,North America,1118,37,9,Real Estate Investment Trusts,AN-100119
"Torphy LLC (Les Coteaux, Canada)",689 Farwell Alley,Marietta,GA,30066,United States,34.0378,-84.5038,+1-404-504-7966,38000000,7100,Spencer Low,3bc4da0b-f31e-eb11-a814-000d3a9c7ff2,Major Chemicals,US-SOUTH,North America,1119,21,7,Major Chemicals,AN-100120
"Abbott Inc and Sons (Salinas, California)",2 Maple Crossing,Nashville,TN,37220,United States,36.0641,-86.7697,+1-615-679-6858,45000000,9400,David So,615b89b2-f81e-eb11-a814-000d3a9c7ff2,Medical Specialities,US-SOUTH,North America,1120,24,9,Medical Specialities,AN-100121
"Jones, Kihn and Fadel",1917 Fulton Junction,Fairfax,VA,22036,United States,38.7351,-77.0796,+1-571-734-1407,62000000,9100,David So,2f6f9828-f31e-eb11-a814-000d3a9c7ff2,Home Furnishings,US-SOUTH,North America,1123,14,9,Home Furnishings,AN-100124
Abbott Inc and Sons  (Michigan),061 Atwood Point,Houston,TX,77260,United States,29.7687,-95.3867,+1-713-250-6722,67000000,4000,Molly Clark,867843ee-f11e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-SOUTH,North America,1127,22,1,Major Pharmaceuticals,AN-100128
"Kilback Inc (Sakado, Japan)",3 Messerschmidt Plaza,Conroe,TX,77305,United States,30.2906,-95.3832,+1-936-216-9897,19000000,7800,Molly Clark,32dfdefd-e51e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-SOUTH,North America,1133,22,1,Major Pharmaceuticals,AN-100134
"Blanda, Collins and Doyle",123 Kinsman Plaza,Atlanta,GA,30375,United States,33.8444,-84.474,+1-404-652-3723,174000000,8000,David So,1329e80d-f11e-eb11-a814-000d3a9c7ff2,Computer Software: Prepackaged Software,US-SOUTH,North America,1134,7,9,Computer Software: Prepackaged Software,AN-100135
"Heaney and Sons (Nantes, France)",12095 Evergreen Place,Arlington,TX,76096,United States,32.7714,-97.2915,+1-817-956-3305,95000000,9700,Molly Clark,15168e87-f51e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-SOUTH,North America,1139,22,1,Major Pharmaceuticals,AN-100140
Abbott LLC  (Arizona),4 Lawn Street,Richmond,VA,23203,United States,37.5593,-77.4471,+1-804-206-2007,21000000,9700,David So,f5b4eba1-e51e-eb11-a814-000d3a9c7ff2,Real Estate Investment Trusts,US-SOUTH,North America,1147,37,9,Real Estate Investment Trusts,AN-100148
"Kuhlman and Sons (Marne-la-Vallée, France)",2 Huxley Pass,Athens,GA,30610,United States,33.9443,-83.3891,+1-706-935-2597,78000000,4800,David So,b35474a3-e31e-eb11-a814-000d3a9c7ff2,Major Chemicals,US-SOUTH,North America,1153,21,9,Major Chemicals,AN-100154
"Torp Inc (Nantes, France)",5 Doe Crossing Drive,Houston,TX,77281,United States,29.834,-95.4342,+1-713-236-3020,108000000,8700,Molly Clark,293f73c9-e41e-eb11-a814-000d3a9c7ff2,Oilfield Services/Equipment,US-SOUTH,North America,1154,29,1,Oilfield Services/Equipment,AN-100155
Toy-Wilderman,25264 Mariners Cove Way,Richmond,VA,23289,United States,37.5313,-77.4161,+1-804-782-7133,158000000,7900,David So,6797ed0c-f81e-eb11-a814-000d3a9c7ff2,EDP Services,US-SOUTH,North America,1164,10,9,EDP Services,AN-100165
Abbott LLC  (Nebraska),2650 Autumn Leaf Plaza,Springfield,VA,22156,United States,38.8318,-77.2888,+1-571-314-0540,75000000,7900,David So,0306a544-f41e-eb11-a814-000d3a9c7ff2,Property-Casualty Insurers,US-SOUTH,North America,1169,35,9,Property-Casualty Insurers,AN-100170
Abbott LLC  (Minnesota),4 Cordelia Crossing,Birmingham,AL,35220,United States,33.5446,-86.9292,+1-205-411-9570,94000000,3900,Spencer Low,b6b85fab-f51e-eb11-a814-000d3a9c7ff2,Savings Institutions,US-SOUTH,North America,1175,40,7,Savings Institutions,AN-100176
Bailey-Hansen,13006 Burrows Crossing,Charlotte,NC,28256,United States,35.26,-80.8042,+1-704-539-1461,49000000,6400,David So,2f6143ef-e61e-eb11-a814-000d3a9c7ff2,Oil & Gas Production,US-SOUTH,North America,1181,27,9,Oil & Gas Production,AN-100182
Reichel-Lang,5 Canary Road,El Paso,TX,88546,United States,31.6948,-106.3,+1-915-174-9216,26000000,10000,Molly Clark,a97ec1cb-e51e-eb11-a814-000d3a9c7ff2,Computer Manufacturing,US-SOUTH,North America,1182,6,1,Computer Manufacturing,AN-100183
"Swaniawski-Murray (Nakama, Japan)",836 Sommers Point,Washington,DC,20337,United States,38.8933,-77.0146,+1-202-656-8428,36000000,6800,Spencer Low,50f825de-f01e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-SOUTH,North America,1185,22,7,Major Pharmaceuticals,AN-100186
"Reilly Inc (El Paso, Texas)",35 Del Mar Parkway,Birmingham,AL,35254,United States,33.5446,-86.9292,+1-205-985-7819,39000000,4700,David So,2049629a-f71e-eb11-a814-000d3a9c7ff2,Paper,US-SOUTH,North America,1195,33,9,Paper,AN-100196
Abbott LLC  (Nevada),8 Cascade Hill,Atlanta,GA,31190,United States,33.7629,-84.4226,+1-404-672-7471,95000000,4300,David So,c76cfac3-e21e-eb11-a814-000d3a9c7ff2,Industrial Machinery/Components,US-SOUTH,North America,1196,16,9,Industrial Machinery/Components,AN-100197
"Abbott, Abbott and Tillman",004 Troy Street,Little Rock,AR,72215,United States,34.7519,-92.3925,+1-501-738-6907,107000000,6200,Molly Clark,f8d298ea-df1e-eb11-a814-000d3a9c7ff2,Computer Software: Prepackaged Software,US-SOUTH,North America,1202,7,1,Computer Software: Prepackaged Software,AN-100203
"Abbott, Ankunding and Schuster",7915 Bayside Circle,Columbus,GA,31914,United States,32.491,-84.8741,+1-706-304-0407,176000000,7600,David So,3c66acd8-eb1e-eb11-a814-000d3a9c7ff2,Medical Specialities,US-SOUTH,North America,1205,24,9,Medical Specialities,AN-100206
"Abbott, Beahan and Lakin",93 Summerview Lane,Bradenton,FL,34205,United States,27.4841,-82.5834,+1-941-821-4273,77000000,6100,David So,2e6d3713-e61e-eb11-a814-000d3a9c7ff2,Major Chemicals,US-SOUTH,North America,1207,21,9,Major Chemicals,AN-100208
"Abbott, Bernhard and Kautzer",179 Havey Hill,Lubbock,TX,79491,United States,33.61,-101.8213,+1-806-149-8924,91000000,6500,Molly Clark,dfa94a64-f71e-eb11-a814-000d3a9c7ff2,Major Banks,US-SOUTH,North America,1214,20,1,Major Banks,AN-100215
"Abbott, Boyle and Hilll",73847 Miller Terrace,Memphis,TN,38119,United States,35.0821,-89.8501,+1-901-978-9175,39000000,4400,David So,c3c35fab-f51e-eb11-a814-000d3a9c7ff2,Ordnance And Accessories,US-SOUTH,North America,1220,30,9,Ordnance And Accessories,AN-100221
"Abbott, Connelly and Pagac",9 Elgar Road,Charlottesville,VA,22903,United States,38.0339,-78.4924,+1-540-738-5545,25000000,4100,David So,7d51cbc0-eb1e-eb11-a814-000d3a9c7ff2,Restaurants,US-SOUTH,North America,1225,39,9,Restaurants,AN-100226
"Abbott, D'Amore and Gleichner",3832 Nelson Place,New Orleans,LA,70129,United States,30.0877,-89.8462,+1-504-215-9372,32000000,4600,Molly Clark,5440c925-f11e-eb11-a814-000d3a9c7ff2,Clothing/Shoe/Accessory Stores,US-SOUTH,North America,1232,5,1,Clothing/Shoe/Accessory Stores,AN-100233
"Abbott, Durgan and Gislason",746 Union Alley,Meridian,MS,39305,United States,32.4401,-88.6783,+1-601-170-8001,98000000,7200,David So,4b57fffb-f01e-eb11-a814-000d3a9c7ff2,Medical/Nursing Services,US-SOUTH,North America,1237,26,9,Medical/Nursing Services,AN-100238
"Abbott, Durgan and Zulauf",9463 Valley Edge Court,Washington,DC,20525,United States,38.8933,-77.0146,+1-202-498-3448,150000000,6900,David So,63cbc428-f91e-eb11-a814-000d3a9c7ff2,Transportation Services,US-SOUTH,North America,1239,43,9,Transportation Services,AN-100240
"Abbott, Farrell and VonRueden",57821 Hagan Way,Charlotte,NC,28205,United States,35.22,-80.7881,+1-704-167-5721,15000000,8400,Spencer Low,170f5db5-e31e-eb11-a814-000d3a9c7ff2,Major Banks,US-SOUTH,North America,1244,20,7,Major Banks,AN-100245
"Abbott, Gislason and Hoppe",136 Fisk Junction,Atlanta,GA,31165,United States,33.7629,-84.4226,+1-404-682-1466,43000000,3600,David So,22cd64af-e31e-eb11-a814-000d3a9c7ff2,Food Distributors,US-SOUTH,North America,1251,12,9,Food Distributors,AN-100252
"Abbott, Greenholt and Eichmann",1 Dunning Parkway,Saint Petersburg,FL,33737,United States,27.8918,-82.7248,+1-727-616-4452,16000000,8000,David So,3396f17e-f61e-eb11-a814-000d3a9c7ff2,Savings Institutions,US-SOUTH,North America,1261,40,9,Savings Institutions,AN-100262
"Abbott, Gutmann and Brekke",3 Talisman Alley,Fort Smith,AR,72905,United States,35.191,-94.2382,+1-479-304-5993,82000000,3100,Molly Clark,13f89391-f11e-eb11-a814-000d3a9c7ff2,Marine Transportation,US-SOUTH,North America,1266,23,1,Marine Transportation,AN-100267
"Abbott, Hackett and Simonis",70 Arrowood Drive,Oklahoma City,OK,73119,United States,35.421,-97.5616,+1-405-274-9086,27000000,4700,Molly Clark,a879f9d1-f41e-eb11-a814-000d3a9c7ff2,Oil/Gas Transmission,US-SOUTH,North America,1267,28,1,Oil/Gas Transmission,AN-100268
"Abbott, Hirthe and VonRueden",680 Luster Road,Washington,DC,20088,United States,38.8933,-77.0146,+1-202-943-4320,94000000,5600,David So,ff2f73c9-e41e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-SOUTH,North America,1287,22,9,Major Pharmaceuticals,AN-100288
"Abbott, Homenick and Stracke",1494 Maple Crossing,Houston,TX,77250,United States,29.7629,-95.3629,+1-713-642-2929,64000000,6500,Molly Clark,6be354f0-f31e-eb11-a814-000d3a9c7ff2,Savings Institutions,US-SOUTH,North America,1290,40,1,Savings Institutions,AN-100291
"Abbott, Howell and Klein",02281 Northport Park,Little Rock,AR,72222,United States,34.7519,-92.3925,+1-501-290-8810,52000000,7600,Molly Clark,66378543-e51e-eb11-a814-000d3a9c7ff2,Automotive Aftermarket,US-SOUTH,North America,1291,2,1,Automotive Aftermarket,AN-100292
"Abbott, Hudson and Effertz",37632 Independence Way,El Paso,TX,79911,United States,31.8925,-106.5426,+1-915-396-4922,69000000,7600,Molly Clark,19c08329-f01e-eb11-a814-000d3a9c7ff2,Real Estate Investment Trusts,US-SOUTH,North America,1292,37,1,Real Estate Investment Trusts,AN-100293
A. Datum Corporation  (U.S.),32097 Merchant Avenue,Columbus,OH,43210,United States,40.0028,-83.0164,+1-614-250-0234,87000000,3800,Eric Gruber,1c6090f3-8f1c-eb11-a813-000d3a9c7ffa,Oil & Gas Production,US-MIDWEST,North America,1000,27,2,Oil & Gas Production,AN-100001
"Wiegand Group (Arbois, France)",27817 John Wall Street,Pittsburgh,PA,15210,United States,40.4072,-79.9839,+1-412-780-8538,127000000,8300,Julian Isla,22c58905-de1e-eb11-a814-000d3a9c7ff2,Forest Products,US-NORTHEAST,North America,1001,13,4,Forest Products,AN-100002
"O'Reilly Inc (La Plaine-Saint-Denis, France)",35 Golden Leaf Court,Alhambra,CA,91841,United States,33.7866,-118.2987,+1-626-239-1315,78000000,4800,Alicia Thomber,22dde512-f81e-eb11-a814-000d3a9c7ff2,Oil & Gas Production,US-WEST,North America,1003,27,11,Oil & Gas Production,AN-100004
"Runolfsdottir, Cremin and Bins",5 Bayside Point,Pueblo,CO,81010,United States,38.1286,-104.5523,+1-719-965-0748,42000000,9200,Molly Clark,1d4174a3-e31e-eb11-a814-000d3a9c7ff2,Computer Software: Prepackaged Software,US-WEST,North America,1006,7,1,Computer Software: Prepackaged Software,AN-100007
"Koepp and Sons (Levallois-Perret, France)",23618 Susan Point,Boise,ID,83727,United States,43.4599,-116.244,+1-208-652-6938,16000000,6000,Alicia Thomber,5ae6bbcc-eb1e-eb11-a814-000d3a9c7ff2,n/a,US-WEST,North America,1009,0,11,n/a,AN-100010
"Nienow LLC (Tucson, Arizona)",3 Sutteridge Center,Salt Lake City,UT,84170,United States,40.6681,-111.9083,+1-801-413-5479,100000000,9800,Alicia Thomber,41b682bd-e41e-eb11-a814-000d3a9c7ff2,n/a,US-WEST,North America,1013,0,11,n/a,AN-100014
"Kessler, Hegmann and McKenzie",8442 Dwight Parkway,Shawnee Mission,KS,66215,United States,38.949,-94.7405,+1-913-685-5651,89000000,9700,Eric Gruber,3f35dcad-e51e-eb11-a814-000d3a9c7ff2,Medical Specialities,US-MIDWEST,North America,1015,24,2,Medical Specialities,AN-100016
"Haag-Purdy (Arles, France)",0 Maple Wood Trail,Oakland,CA,94616,United States,37.8044,-122.2698,+1-415-609-0441,29000000,8200,Alicia Thomber,8601e902-ed1e-eb11-a814-000d3a9c7ff2,Business Services,US-WEST,North America,1017,4,11,Business Services,AN-100018
"Conn, Marquardt and O'Connell",6 Westport Parkway,Detroit,MI,48232,United States,42.2399,-83.1508,+1-313-935-0242,24000000,9200,Jeff Hay,6687c12b-f11e-eb11-a814-000d3a9c7ff2,n/a,US-MIDWEST,North America,1018,0,3,n/a,AN-100019
"Abbott Group (Migrate, Kentucky)",274 Stephen Plaza,Madison,WI,53726,United States,43.0696,-89.4239,+1-608-585-5798,54000000,3700,Eric Gruber,aa1d3f9c-f41e-eb11-a814-000d3a9c7ff2,Real Estate Investment Trusts,US-MIDWEST,North America,1023,37,2,Real Estate Investment Trusts,AN-100024
"Turner Group (Montpellier, France)",628 Stoughton Court,Colorado Springs,CO,80935,United States,38.8247,-104.562,+1-719-681-1066,94000000,3900,Molly Clark,f5110173-f61e-eb11-a814-000d3a9c7ff2,Oil/Gas Transmission,US-WEST,North America,1025,28,1,Oil/Gas Transmission,AN-100026
"Flatley Inc (Billings, Montana)",0582 Menomonie Alley,Kansas City,MO,64130,United States,39.0351,-94.5467,+1-816-684-1537,62000000,9800,Eric Gruber,864de108-ed1e-eb11-a814-000d3a9c7ff2,Paper,US-MIDWEST,North America,1026,33,2,Paper,AN-100027
"Abbott Group (El Paso, Texas)",1 Darwin Junction,San Jose,CA,95155,United States,37.31,-121.9011,+1-408-356-6434,33000000,8700,Alicia Thomber,307467a5-f51e-eb11-a814-000d3a9c7ff2,Other Specialty Stores,US-WEST,North America,1027,31,11,Other Specialty Stores,AN-100028
Abbott Group  (Ohio),5791 Mifflin Hill,Chicago,IL,60681,United States,41.8119,-87.6873,+1-312-829-9985,86000000,7500,Jeff Hay,8298a17f-f11e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-MIDWEST,North America,1030,22,3,Major Pharmaceuticals,AN-100031
"Abbott Group (Louisville, Kentucky)",4577 Clyde Gallagher Circle,New York City,NY,10280,United States,40.7105,-74.0163,+1-212-372-6948,36000000,6800,Julian Isla,458b119a-e21e-eb11-a814-000d3a9c7ff2,Home Furnishings,US-NORTHEAST,North America,1035,14,4,Home Furnishings,AN-100036
"Abbott Group (El Paso, Texas)",6 Talmadge Hill,Berkeley,CA,94712,United States,37.6802,-121.9215,+1-510-200-9979,72000000,7400,Alicia Thomber,4d9879c4-f11e-eb11-a814-000d3a9c7ff2,Major Banks,US-WEST,North America,1037,20,11,Major Banks,AN-100038
"Lehner LLC (Iida, Japan)",7085 Hallows Trail,Danbury,CT,6816,United States,41.3089,-73.3637,+1-203-814-8363,96000000,9600,Julian Isla,32f09a85-e31e-eb11-a814-000d3a9c7ff2,Major Pharmaceuticals,US-NORTHEAST,North America,1038,22,4,Major Pharmaceuticals,AN-100039
"Abbott Group (Metairie, Louisiana)",83 Bluejay Junction,Peoria,IL,61640,United States,40.7857,-89.6177,+1-309-934-3508,64000000,9200,Eric Gruber,f77273b9-e61e-eb11-a814-000d3a9c7ff2,n/a,US-MIDWEST,North America,1041,0,2,n/a,AN-100042
"Cummerata Inc (La Sarre, Canada)",979 Havey Place,Lansing,MI,48930,United States,42.7325,-84.5587,+1-517-907-9565,90000000,5100,Eric Gruber,702e02be-e21e-eb11-a814-000d3a9c7ff2,Computer Manufacturing,US-MIDWEST,North America,1048,6,2,Computer Manufacturing,AN-100049
Abbott Group  (West Virginia),10 Clove Road,Sacramento,CA,94273,United States,38.3774,-121.4444,+1-916-356-4581,53000000,10000,Alicia Thomber,5e163f9c-f41e-eb11-a814-000d3a9c7ff2,Automotive Aftermarket,US-WEST,North America,1054,2,11,Automotive Aftermarket,AN-100055
"Fisher, Weissnat and Mraz",6 Boyd Way,Berkeley,CA,94712,United States,37.6802,-121.9215,+1-510-311-3623,41000000,3600,Alicia Thomber,44ad4a64-f71e-eb11-a814-000d3a9c7ff2,Computer Software: Prepackaged Software,US-WEST,North America,1056,7,11,Computer Software: Prepackaged Software,AN-100057
